지역,Indicator Name,year,value
부산,특+자 진학률,2019,0.11849944832659066
부산,사교육비,2019,32.5
부산,음주율,2019,14.9
부산,우울감경험률,2019,25.4
부산,흡연율,2019,7.4
대구,특성화고진학률,2019,0.18303117587258558
대구,특목고진학률,2019,0.05438834293459844
대구,자율고진학율,2019,0.1420704845814978
대구,특+자 진학률,2019,0.19645882751609625
대구,사교육비,2019,34.2
대구,음주율,2019,14.6
대구,우울감경험률,2019,25.3
대구,흡연율,2019,6.0
인천,특성화고진학률,2019,0.20323680365638933
인천,특목고진학률,2019,0.04956355598846139
인천,자율고진학율,2019,0.042295732963698346
인천,특+자 진학률,2019,0.09185928895215974
인천,사교육비,2019,33.4
인천,음주율,2019,13.4
인천,우울감경험률,2019,27.1
인천,흡연율,2019,7.1
광주,특성화고진학률,2019,0.16714609217210355
광주,특목고진학률,2019,0.036966766631984824
광주,자율고진학율,2019,0.026868229389803537
광주,특+자 진학률,2019,0.06383499602178835
광주,사교육비,2019,31.9
광주,음주율,2019,12.5
광주,우울감경험률,2019,26.1
광주,흡연율,2019,6.5
대전,특성화고진학률,2019,0.14069946969188427
대전,특목고진학률,2019,0.05558166073706115
대전,자율고진학율,2019,0.14714372021212324
대전,특+자 진학률,2019,0.2027253809491844
대전,사교육비,2019,31.7
대전,음주율,2019,15.8
대전,우울감경험률,2019,29.3
대전,흡연율,2019,6.8
울산,특성화고진학률,2019,0.15297069629895152
울산,특목고진학률,2019,0.06918182632852406
울산,자율고진학율,2019,0.025181467873465365
울산,특+자 진학률,2019,0.09436329420198943
울산,사교육비,2019,30.3
울산,음주율,2019,16.6
울산,우울감경험률,2019,25.1
울산,흡연율,2019,7.9
세종,특성화고진학률,2019,0.039903990399039906
세종,특목고진학률,2019,0.06540654065406541
세종,자율고진학율,2019,0.025802580258025804
세종,특+자 진학률,2019,0.09120912091209121
세종,사교육비,2019,40.2
세종,음주율,2019,13.9
세종,우울감경험률,2019,26.5
세종,흡연율,2019,5.3
경기,특성화고진학률,2019,0.15038798579138582
경기,특목고진학률,2019,0.035772370880432405
경기,자율고진학율,2019,0.02603024589964964
경기,특+자 진학률,2019,0.061802616780082045
경기,사교육비,2019,35.7
경기,음주율,2019,15.5
경기,우울감경험률,2019,30.0
경기,흡연율,2019,7.2
강원,특성화고진학률,2019,0.18540966846794216
강원,특목고진학률,2019,0.03957937782970644
강원,자율고진학율,2019,0.005549875858040018
강원,특+자 진학률,2019,0.04512925368774646
강원,사교육비,2019,20.9
강원,음주율,2019,16.5
강원,우울감경험률,2019,27.9
강원,흡연율,2019,6.3
충북,특성화고진학률,2019,0.2562967063382231
충북,특목고진학률,2019,0.05148076390810961
충북,자율고진학율,2019,0.03791862717962912
충북,특+자 진학률,2019,0.08939939108773873
충북,사교육비,2019,25.9
충북,음주율,2019,17.7
충북,우울감경험률,2019,31.4
충북,흡연율,2019,7.0
충남,특성화고진학률,2019,0.18961613666769578
충남,특목고진학률,2019,0.04008438818565401
충남,자율고진학율,2019,0.039364001234949056
충남,특+자 진학률,2019,0.07944838942060306
충남,사교육비,2019,28.1
충남,음주율,2019,17.3
충남,우울감경험률,2019,26.8
충남,흡연율,2019,8.2
전북,특성화고진학률,2019,0.15879973027646663
전북,특목고진학률,2019,0.05107889413351315
전북,자율고진학율,2019,0.029557203866037312
전북,특+자 진학률,2019,0.08063609799955046
전북,사교육비,2019,27.6
전북,음주율,2019,16.6
전북,우울감경험률,2019,30.9
전북,흡연율,2019,6.7
전남,특성화고진학률,2019,0.23502694846484587
전남,특목고진학률,2019,0.04511596923635923
전남,자율고진학율,2019,0.02840186519711742
전남,특+자 진학률,2019,0.07351783443347666
전남,사교육비,2019,22.6
전남,음주율,2019,13.3
전남,우울감경험률,2019,24.9
전남,흡연율,2019,5.7
경북,특성화고진학률,2019,0.17230977037370554
경북,특목고진학률,2019,0.051733453399369654
경북,자율고진학율,2019,0.05240882485366952
경북,특+자 진학률,2019,0.10414227825303918
경북,사교육비,2019,25.7
경북,음주율,2019,16.4
경북,우울감경험률,2019,27.4
경북,흡연율,2019,6.2
경남,특성화고진학률,2019,0.13064449592231778
경남,특목고진학률,2019,0.04084028813505537
경남,자율고진학율,2019,0.04518770031415606
경남,특+자 진학률,2019,0.08602798844921143
경남,사교육비,2019,28.9
경남,음주율,2019,16.3
경남,우울감경험률,2019,25.6
경남,흡연율,2019,6.7
제주,특성화고진학률,2019,0.17930725589728277
제주,특목고진학률,2019,0.031054045983875785
